index,ppg_in,ppg_filt,valid_pre,peak_pulse,time_counter,interval_valid,bpm_value,bpm_valid
366,-358,-59,0,0,10,0,65,0
367,-369,-103,1,0,10,0,65,0
368,-294,-103,0,0,11,0,65,0
369,-271,-130,1,0,11,0,65,0
370,-196,-130,0,0,12,0,65,0
371,-190,-134,1,0,12,0,65,0
372,-145,-134,0,0,13,0,65,0
373,-114,-131,1,0,13,0,65,0
374,-119,-131,0,0,14,0,65,0
375,-67,-115,1,0,14,0,65,0
376,-143,-115,0,0,15,0,65,0
377,-85,-84,1,0,15,0,65,0
378,-88,-84,0,0,16,0,65,0
379,-64,-43,1,0,16,0,65,0
380,6,-43,0,0,17,0,65,0
381,56,-10,1,0,17,0,65,0
382,61,-10,0,0,18,0,65,0
383,169,28,1,0,18,0,65,0
384,158,28,0,0,19,0,65,0
385,214,88,1,0,19,0,65,0
386,187,88,0,0,20,0,65,0
387,157,141,1,0,20,0,65,0
388,173,141,0,0,21,0,65,0
389,95,158,1,0,21,0,65,0
390,55,158,0,0,22,0,65,0
391,19,136,1,0,22,0,65,0
392,-112,136,0,1,23,0,65,0
393,-77,107,1,0,23,0,65,0
394,-133,107,0,0,23,1,65,0
395,-92,100,1,0,23,1,65,1
396,-58,108,1,0,0,0,65,1
397,-127,123,1,0,0,0,65,0
398,-120,123,0,0,0,0,65,0
399,-140,104,1,0,0,0,65,0
400,-155,104,0,0,0,0,65,0
401,-205,83,1,0,0,0,65,0
402,-250,83,0,0,0,0,65,0
403,-315,51,1,0,0,0,65,0
404,-372,51,0,0,0,0,65,0
405,-371,8,1,0,0,0,65,0
406,-371,8,0,0,0,0,65,0
407,-403,-17,1,0,0,0,65,0
408,-327,-17,0,0,0,0,65,0
409,-330,-42,1,0,0,0,65,0
410,-259,-42,0,0,0,0,65,0
411,-148,-57,1,0,0,0,65,0
412,-175,-57,0,0,0,0,65,0
413,-99,-24,1,0,0,0,65,0
414,-103,-24,0,0,0,0,65,0
415,-95,23,1,0,0,0,65,0
416,-79,23,0,0,0,0,65,0
417,-65,53,1,0,0,0,65,0
418,-100,53,0,0,0,0,65,0
419,-77,74,1,0,0,0,65,0
420,-58,74,0,0,0,0,65,0
421,-46,92,1,0,0,0,65,0
422,62,92,0,0,0,0,65,0
423,119,105,1,0,0,0,65,0
424,128,105,0,0,0,0,65,0
425,148,131,1,0,0,0,65,0
426,182,131,0,0,0,0,65,0
427,208,150,1,0,0,0,65,0
428,205,150,0,0,0,0,65,0
429,164,167,1,0,0,0,65,0
430,160,167,0,0,0,0,65,0
431,101,159,1,0,0,0,65,0
432,77,159,0,1,0,0,65,0
433,-24,129,1,0,0,0,65,0
434,-28,129,0,0,1,0,65,0
435,-68,72,1,0,1,0,65,0
436,-54,72,0,0,2,0,65,0
437,-62,23,1,0,2,0,65,0
438,-64,23,0,0,3,0,65,0
439,-85,-9,1,0,3,0,65,0
440,-38,-9,0,0,4,0,65,0
